timestamp,index,name,gpu_utilization[%],memory.total[MiB],memory.used[MiB],memory.free[MiB],temperature[°C]
2025/05/20 22:25:32.620, 0, NVIDIA RTX A5000, 4, 24564, 1744, 22489, 53
2025/05/20 22:25:33.640, 0, NVIDIA RTX A5000, 4, 24564, 1744, 22490, 53
2025/05/20 22:25:34.662, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22490, 53
2025/05/20 22:25:35.682, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22490, 53
2025/05/20 22:25:36.702, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22490, 53
2025/05/20 22:25:37.723, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22491, 52
2025/05/20 22:25:38.744, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22491, 52
2025/05/20 22:25:39.765, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22491, 52
2025/05/20 22:25:40.786, 0, NVIDIA RTX A5000, 5, 24564, 1743, 22491, 52
2025/05/20 22:25:41.811, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22491, 52
2025/05/20 22:25:42.831, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22491, 52
2025/05/20 22:25:43.855, 0, NVIDIA RTX A5000, 4, 24564, 1744, 22490, 52
2025/05/20 22:25:44.875, 0, NVIDIA RTX A5000, 4, 24564, 1743, 22490, 52
