timestamp,index,name,gpu_utilization[%],memory.total[MiB],memory.used[MiB],memory.free[MiB],temperature[°C]
2025/05/25 00:08:00.098, 0, NVIDIA RTX A5000, 1, 24564, 11323, 12911, 79
2025/05/25 00:08:01.114, 0, NVIDIA RTX A5000, 1, 24564, 11324, 12910, 78
2025/05/25 00:08:02.129, 0, NVIDIA RTX A5000, 3, 24564, 11325, 12909, 78
2025/05/25 00:08:03.144, 0, NVIDIA RTX A5000, 7, 24564, 11326, 12907, 78
2025/05/25 00:08:04.161, 0, NVIDIA RTX A5000, 2, 24564, 11324, 12910, 78
2025/05/25 00:08:05.177, 0, NVIDIA RTX A5000, 1, 24564, 11324, 12910, 78
2025/05/25 00:08:06.193, 0, NVIDIA RTX A5000, 1, 24564, 11324, 12910, 78
2025/05/25 00:08:07.209, 0, NVIDIA RTX A5000, 12, 24564, 11740, 12493, 78
2025/05/25 00:08:08.226, 0, NVIDIA RTX A5000, 44, 24564, 12066, 12167, 79
2025/05/25 00:08:09.248, 0, NVIDIA RTX A5000, 90, 24564, 12316, 11917, 79
2025/05/25 00:08:10.265, 0, NVIDIA RTX A5000, 42, 24564, 12592, 11641, 79
2025/05/25 00:08:11.282, 0, NVIDIA RTX A5000, 95, 24564, 12850, 11383, 80
2025/05/25 00:08:12.298, 0, NVIDIA RTX A5000, 96, 24564, 13066, 11167, 80
2025/05/25 00:08:13.315, 0, NVIDIA RTX A5000, 99, 24564, 13066, 11167, 79
2025/05/25 00:08:14.343, 0, NVIDIA RTX A5000, 100, 24564, 13067, 11167, 80
2025/05/25 00:08:15.360, 0, NVIDIA RTX A5000, 100, 24564, 13067, 11167, 79
2025/05/25 00:08:16.377, 0, NVIDIA RTX A5000, 100, 24564, 13067, 11167, 79
2025/05/25 00:08:17.393, 0, NVIDIA RTX A5000, 100, 24564, 13067, 11167, 79
2025/05/25 00:08:18.411, 0, NVIDIA RTX A5000, 100, 24564, 13066, 11167, 79
2025/05/25 00:08:19.427, 0, NVIDIA RTX A5000, 88, 24564, 13066, 11167, 79
2025/05/25 00:08:20.443, 0, NVIDIA RTX A5000, 93, 24564, 13066, 11167, 79
2025/05/25 00:08:21.460, 0, NVIDIA RTX A5000, 1, 24564, 13066, 11167, 79
2025/05/25 00:08:22.475, 0, NVIDIA RTX A5000, 15, 24564, 11324, 12910, 79
